TAG,NAME,DESCRIPTION
,xorg-server,"X Graphical server"
,xorg-xwininfo,"Command-line utility to print information about windows on an X server"
,xorg-xinit,"X.Org initialisation program"
,xorg-xbacklight,"RandR-based backlight control application"
,arandr,"Provide a simple visual front end for XRandR 1.2."
,xorg-xrandr,"Primitive command line interface to RandR extension"
,neovim,"Fork of Vim aiming to improve user experience, plugins, and GUIs"
,fzf,"Command-line fuzzy finder"
,git,"the fast distributed version control system"
,stow,"Manage installation of multiple softwares in the same directory tree"
,ed,"A POSIX-compliant line-oriented text editor"
,dunst,"Customizable and lightweight notification-daemon"
,firefox,"Standalone web browser from mozilla.org"
,firefox-i18n-pl,"Polish language pack for Firefox"
,htop,"Interactive process viewer"
,scrot,"Simple command-line screenshot utility for X"
,neomutt,"a version of mutt with added features"
,isync,"IMAP and MailDir mailbox synchronizer"
,notmuch,"Notmuch is not much of an email program"
,ncmpcpp,"Almost exact clone of ncmpc with some new features"
,mpc,"Minimalist command line interface to MPD"
,mpv,"a free, open source, and cross-platform media player"
,mpd,"Flexible, powerful, server-side application for playing music"
,net-tools,"Configuration tools for Linux networking"
,newsboat,"An RSS/Atom feed reader for text terminals"
,pass,"Stores, retrieves, generates, and synchronizes passwords securely"
,pulsemixer,"CLI and curses mixer for pulseaudio"
,pulseaudio,"A featureful, general-purpose sound server"
,pulseaudio-alsa,"ALSA Configuration for PulseAudio"
,rsync,"A file transfer program to keep remote files in sync"
,rsnapshot,"A remote filesystem snapshot utility"
,sxiv,"Simple X Image Viewer"
,weechat,"Fast, light and extensible IRC client (curses UI)"
,ttf-inconsolata,"Monospace font for pretty code listings and for the terminal"
,ttf-linux-libertine,"Serif (Libertine) and Sans Serif (Biolinum) OpenType fonts with large Unicode coverage"
,wget,"Network utility to retrieve files from the Web"
,xautolock,"An automatic X screen-locker/screen-saver"
,xclip,"Command line interface to the X11 clipboard"
,urlscan,"Mutt and terminal url selector"
,youtube-dl,"A small command-line program to download videos from YouTube.com and a few more sites"
,zathura,"Minimalistic document viewer"
,zathura-djvu,"DjVu support for Zathura"
,zathura-pdf-mupdf,"PDF support for Zathura (MuPDF backend) (Supports PDF, ePub, and OpenXPS)"
,atool,"A script for managing file archives of various types"
,imagemagick,"An image viewing/manipulation program"
,ffmpeg,"Complete solution to record, convert and stream audio and video"
A,gtk-theme-arc-gruvbox-git,"A flat, grey gruvboxed theme with transparent elements for GTK 3, GTK 2 and gnome-shell. Latest commit from the master branch on Github."
,compton,"X compositor that may fix tearing issues"
A,ttf-emojione,"Official colorful EmojiOne font"
A,ttf-symbola,"Font for unicode symbols (part of Unicode Fonts for Ancient Scripts)."
,ntfs-3g,"NTFS filesystem driver and utilities"
,tmux,"A terminal multiplexer"
,unzip,"For extracting and viewing files in .zip archives"
,unrar,"The RAR uncompression program"
,dosfstools,"DOS filesystem utilities"
,exfat-utils,"Utilities for exFAT file system"
,xclip,"Command line interface to the X11 clipboard"
,libnotify,"Library for sending desktop notifications"
,mediainfo,"Supplies technical and tag information about a video or audio file (CLI interface)"
,tree,"A directory listing program displaying a depth indented list of files"
,gnome-keyring,"Stores passwords and encryption keys"
,gzip,"GNU compression utility"
,calcurse,"A text-based personal organizer."
,gnupg,"Complete and free implementation of the OpenPGP standard"
,strongswan,"Open source IPsec implementation"
,xl2tpd,"an open source implementation of the L2TP maintained by Xelerance Corporation"
A,networkmanager-l2tp,"L2TP support for NetworkManager"
,networkmanager-pptp,"NetworkManager VPN plugin for PPTP"
,networkmanager-strongswan,"Strongswan NetworkManager plugin"
,nm-connection-editor,"NetworkManager GUI connection editor and widgets"
,w3m,"Text-based Web browser as well as pager"
,x11-ssh-askpass,"Lightweight passphrase dialog for SSH"
,i3lock,"Improved screenlocker based upon XCB and PAM"
O,lf,"github.com/gokcehan/lf"
,dmenu,"Generic menu for X"
S,dwm,"https://github.com/dechnik/dwm.git"
S,slstatus,"https://github.com/dechnik/slstatus.git"
S,st,"https://github.com/dechnik/st.git"
M,powerline-fonts,"https://github.com/powerline/fonts"
